RowId,ProcessType,RowCycleId,Package,Container,EventDate,CompletionDate,RowsCount,Duration,EventOutcome
1,SISS,1,RetailSalesDW_ETL,DimDate,2025-08-27 16:36:00,2025-08-27 16:36:00,1826,0,Success
2,SISS,1,RetailSalesDW_ETL,DimCustomer,2025-08-27 16:36:00,2025-08-27 16:36:00,25000,0,Success
3,SISS,1,RetailSalesDW_ETL,DimProduct,2025-08-27 16:36:00,2025-08-27 16:36:00,5000,0,Success
4,SISS,1,RetailSalesDW_ETL,DimOrder,2025-08-27 16:36:00,2025-08-27 16:36:00,100000,0,Success
5,SISS,1,RetailSalesDW_ETL,FactSales,2025-08-27 16:36:00,2025-08-27 16:36:00,150000,0,Success
